"","unlistTexto","Freq"
"1","",4
"2","2018,",1
"3","4.",1
"4","50%",2
"5","8",1
"6","a",5
"7","adultos",1
"8","afectar",1
"9","ahora",1
"10","aire.",1
"11","al",1
"12","alerta,",1
"13","ambientales",2
"14","ambiente",1
"15","ambiente,",2
"16","ángeles",2
"17","ángeles,",1
"18","anterior",1
"19","año",1
"20","atmosférica.delannays",1
"21","atmosféricas",1
"22","atribuyeron",1
"23","autoridad",1
"24","autoridades",1
"25","balance",1
"26","bío",3
"27","bío.",1
"28","briones",1
"29","buena",1
"30","buenas",1
"31","calidad",1
"32","capital",1
"33","cifras",2
"34","ciudadanía",1
"35","ciudadanía.",1
"36","comparación",1
"37","con",2
"38","conciencia",2
"39","condiciones",1
"40","considerando",1
"41","constatadas",1
"42","continuar",1
"43","críticos",1
"44","de",12
"45","del",2
"46","delannays,",1
"47","descontaminación",1
"48","desde",1
"49","destacó",1
"50","díaz",1
"51","disminuido",3
"52","el",4
"53","emergencia",1
"54","emergencia,",1
"55","emergencias",2
"56","en",10
"57","enfatizó",1
"58","episodios",3
"59","es",3
"60","esta",1
"61","esto",1
"62","favorecen",1
"63","fecha",1
"64","fecha,",1
"65","ha",2
"66","han",3
"67","hasta",1
"68","hicieron",1
"69","implementaron",1
"70","importante",1
"71","información",1
"72","la",15
"73","las",7
"74","limpieza",1
"75","link",1
"76","lluvia",1
"77","lo",1
"78","los",5
"79","mario",1
"80","mayores.",1
"81","medio",2
"82","mejorando",1
"83","mismo",1
"84","nicole",1
"85","niños",1
"86","nuevas",1
"87","para",1
"88","pasado",1
"89","peores.",1
"90","periodo",1
"91","pese",2
"92","plan",1
"93","por",1
"94","positivo",1
"95","precipitaciones",1
"96","preemergencia",1
"97","principalmente",1
"98","provincia",1
"99","pueden",1
"100","que",9
"101","regional",1
"102","relaciona",1
"103","respecto",1
"104","respeto",1
"105","restricciones",1
"106","salud,",1
"107","se",2
"108","sebastián",1
"109","secretaría",1
"110","seremi",1
"111","sido",1
"112","sólo",1
"113","tendencia,",1
"114","tomado",1
"115","través",1
"116","tuvo",1
"117","un",3
"118","valoró",1
"119","y",5
